,text,Adults,Chickenpox vaccines,Diphtheria,General immunization,HPV vaccines,Hepatitis A vaccine,Hepatitis B vaccine,Immunization records,Infants & young children,Influenza vaccines,Measles,Meningococcal vaccines,Other,Pneumococcal vaccines,Pregnancy,Rotavirus Vaccines,School-age children & teens,Shingles vaccines,TB skin test,Travel vaccines,Vaccine Schedules,Vaccine ingredients,Vaccine safety,Where to get immunized,mumps and rubella vaccines,tetanus and pertussis vaccines
0,"I had a head cold a couple of weeks ago that has left me with a cough that won't go away. Can I still get the flu shot?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Is the flu vacine ready yet in are area Hope /Boston Bar BC
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Though vaccinations are not mandatory for school-aged children, can private schools make it a requirement? Are there any such in BC? I want my kids in a vaccinated environment, but it seems it's the anti-vax crowd that gets its way every time.
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"What is the cost of the TB Test?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,"High dose Influenza vaccine is not available in my area until sometime in November. If I choose to get the regular Influenza vaccine now, is it wise to get the high dose one later?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"My daughter was immunized in gr 9 for meningitis & is applying to University. One of the requirements is that she be vaccinated for bacterial meningitis Does this need to be redone
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,"My elder son suffering from chicken pox past 10 days will it spread to others in the family do my younger son need any vaccines
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"I recently decided to get my 10 month old daughter vaccinated. She's had no shots yet. What happens now? Does she get all the shots she missed at once?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Is BC the only province to remove aluminum adjuvants out of their vaccines?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,"Can you please advise the brand names / DIN nbrs of the pneumococcal disease vaccinations, so I can contact to confirm if we are covered under our health plan. Thank you.
",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"My son is 11 and has never had a MMR / Measles shot. Does he still need one? It's now in Vancouver area...
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,"Hi what kind of vaccinations does my one month old need? Thanks
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Our 17 year old son is not eligible for a free HPV vaccination. He is not yet sexually active and is not questioning his sexual identity. Why is he considered lower risk and is not eligible to have the vaccine cost covered? Is he at lower risk than our daughter, who received the vaccine at school?
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,"My daughter just received the HPV vaccine at school (grade 6). Can she also get the flu vaccine this year? How long should she wait before getting the flu vaccine?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"My child's immunizations are up-to-date. They are entering kindergarten in September. Do I need to get them 4-6 year immunization prior to entering Kindergarten ?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"should a 92-year-old person living in an assisted living residence wait for the high dose flu shot to arrive in Vancouver, or just get the regular flu shot now?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Hello, I was born in BC and went to school in BC, now in Alberta. I do not have a record of my immunizations. How would I obtain this? Old family doctor has long since retired. Thank you!
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"what year did BC start including vaccine against chicken pox in regular immunization?
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Age 69-Inoculated as a child. Advised by London Drugs pharmacist that the medical plans will not cover the booster for adults - not publicly funded. Is this still correct?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Recently I changed my kid's last name. How can I change it on immunization record?
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"RE: Gardasil vaccine: We weren't able to get these when my children were in school - how do we avail of these now that they are older? Please advise. Thank you.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Should a person receive a second measles vaccination while on Otezla?
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,"Do I need to wait exactly 2 months (60 days) to have my kids vaccinated for the first time or 8 weeks is considered enough time?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"The shingles vaccine and physiotherapy are free in Ontario for seniors, but not in BC. What are the health coverage benefits of living in BC as a senior?
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,"Is the Pneumonia vaccine available all year round in BC?
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,"What was the immunization schedule for BC in 1980-1985? I'm trying to see if I was likely to have received a second measles shot. Thank you!
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,"Ashcroft flu vaccine clinic 2019/2020, when?
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"If a seniors drop in centre has a kitchen does everyone working in it need foodsafe?
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"Hi , my son is 16. He plans to volunteer at Kenya. We try to find the HepA vaccine for him. Is there any HepA vaccine in your main office in Vancouver office ? Thanks
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,"My son had one Meningococcal C Conjugate vaccine last July in Vancouver. He is 3 years old. Since he came from Japan in 2016, it was first time for him to get it. I'm wondering if he should get second vaccination this year.
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"We are travelling to China (urban cities ) next year and would like to know what vaccinations are recommended. We are all adults
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31,"My husband has an appt to have two flu shots from our family doctor: one regular flu shot and one high dose shot. This seems odd. Is it not too much??
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"What vaccinations were required in the mid 1960`s to emigrate to Australia from UK
",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"I'm 61 years old and have never had the chicken pox, should I be vaccinated ? My son had it over his whole body when he was seven or eight, but I never even got it then.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"My child missed pentavalent - 2 n now has come for pentavalent-3 (3 and half months) what shall I do now
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"If your childs B.C. health records don't correspond to your own, can a school age child be immunized again even if they may be already. What are the risks to immunizing again?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"My daughter requires the following immunizations for school: tetanus, bovine tuberculosis, rabies, meningitis C, mumps. Can she get these at the public health unit?
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"We moved to UK 3 years ago and have lost the immunization records for our 3 children. Can you advise how we would be able to get their immunization records?
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Where can I find a list of all vaccines in Canada, their ingredients and product monographs?
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,"where can an out of province adult get a mumps vaccination
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,"My previous GP gave me pneumovax in 2002. My current GP has prescribed the conjugated pneumonia vaccine. Is it wise to have this second vaccination. I am over 65.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"Hello! Is the shingrex vaccine a once in a life time vaccine or does it need to be repeated after a few years( after the booster shot)? Thanks
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
